"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"Biomass-NDVI",3,6485.38356865962,0,1,0.515543672809136,-3239.66910001979,0.515543672809136
"Biomass-NDVI2",4,6487.41329881361,2.02973015398493,0.362451329557036,0.186859489654389,-3239.66877061893,0.702403162463525
"Biomass-EVI2",4,6488.37616797505,2.99259931542838,0.22395734760978,0.115459793539338,-3240.15020519965,0.817862956002864
"Biomass-NDVI3",5,6488.40005828779,3.01648962816398,0.221298056517221,0.114088812842412,-3239.14310314769,0.931951768845276
"Biomass-EVI3",5,6489.67894890825,4.29538024862723,0.1167535326889,0.0601915450558769,-3239.78254845792,0.992143313901153
"Biomass-EVI",3,6493.81261160894,8.42904294931577,0.0147793923890159,0.00761942223412065,-3243.88362149445,0.999762736135273
"Biomass-NDVI2ti",4,6501.46525901577,16.0816903561472,0.000322036656745858,0.000166023960797934,-3246.69475072001,0.999928760096071
"Biomass-NDVI3ti",5,6503.4386256652,18.0550570055721,0.000120058851914277,6.18955814691344e-05,-3246.66238683639,0.99999065567754
"Biomass-NDVIti",3,6507.47089405395,22.0873253943255,1.59881506069092e-05,8.24258988531157e-06,-3250.71276271696,0.999998898267425
"Biomass-NDVIamp2",4,6512.23510920131,26.8515405416883,1.47659725275456e-06,7.61250370944964e-07,-3252.07967581278,0.999999659517796
"Biomass-NDVIamp3",5,6514.26737155615,28.8838028965265,5.34517456102594e-07,2.75567092499727e-07,-3252.07675978187,0.999999935084889
"Biomass-NDVIamp",3,6517.15887294843,31.7753042888098,1.2591583310824e-07,6.49151110654441e-08,-3255.5567521642,1
"HerbBiomass-EVI3",5,5558.09122659162,0,1,0.660685562500414,-2773.98868729961,0.660685562500414
"HerbBiomass-EVI2",4,5559.42392820387,1.33270161224846,0.513579312856273,0.339314437203023,-2775.67408531406,0.999999999703437
"HerbBiomass-EVI",3,5601.1397950348,43.0485684431796,4.4887160732242e-10,2.96562990374278e-10,-2797.54721320738,1
"HerbBiomass-NDVI3",5,5635.33678934144,77.2455627498184,1.68398870068323e-17,1.11258702195524e-17,-2812.61146867452,1
"HerbBiomass-NDVI",3,5638.15300938911,80.0617827974829,4.11912299392994e-18,2.72144509225299e-18,-2816.05382038453,1
"HerbBiomass-NDVI2",4,5639.83157774627,81.7403511546463,1.779542122334e-18,1.17571778808742e-18,-2815.87791008526,1
"HerbBiomass-NDVIamp",3,5640.71123443803,82.6200078464108,1.14628668757797e-18,7.57335064969189e-19,-2817.332932909,1
"HerbBiomass-NDVIti",3,5641.69588763799,83.6046610463645,7.00613534972615e-19,4.62885247448785e-19,-2817.82525950897,1
"HerbBiomass-NDVIamp2",4,5642.58965234186,84.498425750241,4.48125836381529e-19,2.96070270280699e-19,-2817.25694738305,1
"HerbBiomass-NDVI2ti",4,5643.72620805398,85.6349814623582,2.53863373247034e-19,1.6772386555197e-19,-2817.82522523911,1
"HerbBiomass-NDVIamp3",5,5643.79500025233,85.7037736607035,2.45279928231008e-19,1.62052907353365e-19,-2816.84057412996,1
"HerbBiomass-NDVI3ti",5,5644.46044276123,86.3692161696054,1.75858354682891e-19,1.16187075984063e-19,-2817.17329538441,1
"DE-NDVIamp2",4,365.574208409249,0,1,0.395595784988371,-178.749225416745,0.395595784988371
"DE-NDVIamp3",5,366.661530547941,1.08732213869206,0.580618671261477,0.229690299036589,-178.273839277765,0.625286084024959
"DE-NDVIamp",3,366.826410377776,1.252201968527,0.534672438403252,0.211514162981781,-180.390520878869,0.83680024700674
"DE-NDVI3",5,369.668458218419,4.09424980917089,0.129105561301623,0.0510736158694797,-179.777303113005,0.88787386287622
"DE-NDVIti",3,370.769802784106,5.19559437485742,0.0744373693204615,0.0294471095487972,-182.362217082034,0.917320972425017
"DE-EVI3",5,370.90387671109,5.32966830184142,0.0696108974792215,0.0275377776320376,-180.39501235934,0.944858750057055
"DE-NDVI2ti",4,371.822520981367,6.24831257211849,0.0439740194695422,0.0173959367511474,-181.873381702805,0.962254686808202
"DE-NDVI3ti",5,372.062052808403,6.48784439915431,0.0390105873345505,0.0154324239194689,-180.974100407996,0.977687110727671
"DE-NDVI2",4,372.857928957722,7.28372054847364,0.0262035528030945,0.0103660150406244,-182.391085690982,0.988053125768295
"DE-EVI2",4,373.098849865477,7.52464145622804,0.0232297677960737,0.00918959822638534,-182.511546144859,0.997242723994681
"DE-NDVI",3,375.629164302985,10.0549558937362,0.0065553226115975,0.00259325799438693,-184.791897841473,0.999835981989068
"DE-EVI",3,381.15055236803,15.5763439587811,0.000414610107479164,0.000164018010932333,-187.552591873996,1
"FN-NDVI",3,75.9162632938468,0,1,0.368636571029138,-34.7399498287416,0.368636571029138
"FN-EVI",3,76.8340642273846,0.917800933537762,0.631978144595867,0.232970256189177,-35.1988502955105,0.601606827218315
"FN-EVI2",4,77.6164621161341,1.70019882228731,0.427372444253438,0.157545112401929,-34.4378606876967,0.759151939620244
"FN-NDVI2",4,77.8221378390648,1.90587454521797,0.385606726325001,0.14214874135822,-34.540698549162,0.901300680978463
"FN-EVI3",5,79.933611549762,4.01734825591522,0.134166444330415,0.0494586579851358,-34.400768039032,0.950759338963599
"FN-NDVI3",5,79.9424463545159,4.0261830606691,0.133575084259638,0.0492406610364011,-34.4051854414089,1
