"mod","res"
"Biomass-NDVI",6919.25624731263
"Biomass-NDVI2",6923.78876014491
"Biomass-NDVI3",6929.76348071631
"Biomass-EVI",6933.91395404451
"Biomass-EVI2",6936.17228127143
"Biomass-NDVIamp2",6942.8113596718
"Biomass-NDVIti2",6933.73603214031
"DE-NDVI",394.455024444138
"DE-NDVI2",399.098381586625
"DE-EVIno",409.082225943786
"DE-EVI2",398.757793648695
"DE-NDVIamp",391.774831014942
"DE-NDVI-amp3",400.90061753717
"DE-NDVIti",395.641655035885
"DE-NDVIti2",401.288168471132
"DE-NDVIti3",406.07869355168
"FN-NDVI",81.7125119892003
"FN-NDVI3",89.1980581023464
"FN-EVI",82.6303129227381
"FN-EVI3",89.1892232975925
