system:index,Longitude,PlotID,Type,description,doy-20140509,doy-20140525,doy-20140610,doy-20140626,doy-20140712,doy-20140728,doy-20140813,doy-20140829,doy-20140914,doy-20140930,doy-20150509,doy-20150525,doy-20150610,doy-20150626,doy-20150712,doy-20150728,doy-20150813,doy-20150829,doy-20150914,doy-20150930,evi-20140509,evi-20140525,evi-20140610,evi-20140626,evi-20140712,evi-20140728,evi-20140813,evi-20140829,evi-20140914,evi-20140930,evi-20150509,evi-20150525,evi-20150610,evi-20150626,evi-20150712,evi-20150728,evi-20150813,evi-20150829,evi-20150914,evi-20150930,geometry,name,ndvi-20140509,ndvi-20140525,ndvi-20140610,ndvi-20140626,ndvi-20140712,ndvi-20140728,ndvi-20140813,ndvi-20140829,ndvi-20140914,ndvi-20140930,ndvi-20150509,ndvi-20150525,ndvi-20150610,ndvi-20150626,ndvi-20150712,ndvi-20150728,ndvi-20150813,ndvi-20150829,ndvi-20150914,ndvi-20150930,summaryQA-20140509,summaryQA-20140525,summaryQA-20140610,summaryQA-20140626,summaryQA-20140712,summaryQA-20140728,summaryQA-20140813,summaryQA-20140829,summaryQA-20140914,summaryQA-20140930,summaryQA-20150509,summaryQA-20150525,summaryQA-20150610,summaryQA-20150626,summaryQA-20150712,summaryQA-20150728,summaryQA-20150813,summaryQA-20150829,summaryQA-20150914,summaryQA-20150930,.geo
1305,-114.47165,882.0,Biomass,,142,160,172,181,199,223,229,249,263,281,129,159,163,181,200,218,238,243,262,277,1213,1604,1738,1721,1929,2008,1670,1756,1301,1395,1147,1713,2021,2340,1839,1936,1799,1687,1406,1586,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.47165,45.51002]}",,3132,3256,4262,4070,4059,4008,4121,3510,3028,3005,2829,4108,3971,4159,4227,4358,3522,3607,3900,3246,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.47165,45.51002]}"
1304,-114.47127,881.0,Biomass,,142,160,172,181,199,223,229,249,263,281,129,159,163,181,200,218,238,243,262,277,1213,1604,1738,1721,1929,2008,1670,1756,1301,1395,1147,1713,2021,2340,1839,1936,1799,1687,1406,1586,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.47127,45.50957]}",,3132,3256,4262,4070,4059,4008,4121,3510,3028,3005,2829,4108,3971,4159,4227,4358,3522,3607,3900,3246,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.47127,45.50957]}"
1303,-114.47188,880.0,Biomass,,142,157,162,192,208,223,240,249,263,281,129,159,163,184,200,211,238,243,266,273,1394,2032,2202,2384,2193,2086,2024,1769,1491,1572,1495,2015,2473,2090,2308,2386,2122,1678,1718,1486,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.47188,45.50676]}",,3223,3982,3893,4382,4124,4078,4000,3438,3222,3067,3455,4741,4474,4537,4919,4436,3768,3542,3657,3225,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.47188,45.50676]}"
1306,-114.47071,883.0,Biomass,,141,160,172,188,205,223,240,249,268,281,129,159,165,177,200,218,229,255,262,278,1542,1962,1831,1771,1936,2097,1647,1547,1422,1404,1355,1896,2291,1962,1767,1648,1915,1473,1602,1416,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.47071,45.50615]}",,2927,3578,3980,4004,3929,3934,3269,3077,3237,2446,2827,3996,3869,3681,3936,3661,3687,3254,3672,3345,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.47071,45.50615]}"
1297,-114.29215,873.0,Biomass,,142,149,172,183,208,219,239,249,263,281,129,159,163,177,202,211,238,252,266,278,1735,1793,2021,2241,1920,2294,2472,1851,1679,1821,1312,1674,1982,1830,2110,2001,2169,1588,1473,1482,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.29215,45.50997]}",,4793,5454,5677,6044,5643,5343,5413,5307,4933,4436,4133,5872,5681,6076,5907,5900,4618,5195,4852,6054,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.29215,45.50997]}"
1294,-114.29494,869.0,Biomass,,142,149,161,183,208,219,239,256,263,281,129,159,163,179,202,211,238,254,266,287,1794,1639,1710,2323,2127,2581,1990,1834,1651,1696,1213,1931,2453,2566,2471,2386,2179,2107,1468,1467,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.29494,45.5062]}",,5435,5425,6194,6394,5961,5526,5064,5235,5269,4733,4127,6005,5860,5998,6182,5933,4930,5043,4757,5362,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.29494,45.5062]}"
1296,-114.29417,872.0,Biomass,,142,149,161,185,208,220,239,256,263,281,129,159,163,177,202,211,238,255,266,287,1662,1697,2215,2465,2075,1810,2104,1445,1323,1620,1466,1856,2421,2269,2126,2068,1827,1457,1370,1401,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.29417,45.50668]}",,5294,5524,8079,5812,5826,5922,5383,5179,5440,4715,4802,6091,5901,6398,6004,5654,5016,5540,4681,5685,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.29417,45.50668]}"
1295,-114.29214,871.0,Biomass,,142,149,161,185,208,219,239,256,263,281,129,159,163,177,202,211,238,243,266,278,1512,1762,2215,2513,2149,2581,2310,1437,1336,1351,1466,1931,2453,2282,2153,2153,1858,1599,1468,1482,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.29214,45.50696]}",,5162,5540,8079,5975,5887,5526,5500,5172,5398,4877,4802,6005,5860,6242,5934,5624,5137,5250,4757,6054,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.29214,45.50696]}"
1323,-114.35652,913.0,Biomass,,143,149,161,183,208,217,239,251,268,281,129,159,163,177,202,211,238,243,262,278,2429,1972,2549,2335,2131,1998,1883,1754,1391,1359,1459,2428,2812,2656,2206,2131,2009,1674,1549,1586,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.35652,45.52856]}",,7739,4935,5272,5229,4738,4189,4070,3751,3757,3106,3805,6084,5328,5557,4616,4575,4068,3666,4048,4016,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.35652,45.52856]}"
1325,-114.35418,916.0,Biomass,,132,149,161,183,206,217,239,245,263,277,129,159,163,177,202,211,232,252,262,273,1488,1944,2660,2155,1925,2074,2019,1670,1484,1474,1522,2292,2770,2581,2383,2241,1847,1755,1546,1539,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.35418,45.53012]}",,4692,4821,5693,5024,4667,4365,4436,4500,3729,4018,4049,5702,5441,5715,5091,4882,4566,3822,4414,3846,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.35418,45.53012]}"
